"lakeid","basin","depth","area","volume","percentvol"
"CR","entire",20,16127.804,14515.0236,0.003768701
"CR","entire",19,32255.608,32255.608,0.008374891
"CR","entire",18,52048.822,52048.822,0.013514028
"CR","entire",17,75140.905,75140.905,0.019509688
"CR","entire",16,94567.578,94567.578,0.024553656
"CR","entire",15,112894.628,112894.628,0.029312117
"CR","entire",14,134520.547,134520.547,0.0349271
"CR","entire",13,155046.843,155046.843,0.040256576
"CR","entire",12,175206.598,175206.598,0.045490883
"CR","entire",11,194999.812,194999.812,0.05063002
"CR","entire",10,211860.698,211860.698,0.055007804
"CR","entire",9,225789.256,225789.256,0.058624234
"CR","entire",8,234586.24,234586.24,0.060908295
"CR","entire",7,242283.601,242283.601,0.062906848
"CR","entire",6,249247.88,249247.88,0.064715063
"CR","entire",5,256945.241,256945.241,0.066713617
"CR","entire",4,265375.684,265375.684,0.068902509
"CR","entire",3,275638.832,275638.832,0.071567247
"CR","entire",2,315958.342,315958.342,0.08203586
"CR","entire",1,349313.573,349313.573,0.090696258
"CR","entire",0,366541,183270.5,0.047584605
"AL","North",8,4494.972,2427.28488,0.000558261
"AL","North",7,157324.02,157324.02,0.036183564
"AL","North",6,310153.068,310153.068,0.071333313
"AL","North",5,461858.373,461858.373,0.106224607
"AL","North",4,564118.986,564118.986,0.129743924
"AL","North",3,624801.108,624801.108,0.143700441
"AL","North",2,728185.464,728185.464,0.167478212
"AL","North",1,957429.036,957429.036,0.220202835
"AL","North",0,1123743,541644.126,0.124574843
"BM","entire",21,3963.454,3170.7632,0.000104838
"BM","entire",20,15853.816,15853.816,0.000524191
"BM","entire",19,51524.902,51524.902,0.001703622
"BM","entire",18,118903.62,118903.62,0.003931436
"BM","entire",17,237807.24,237807.24,0.007862872
"BM","entire",16,380491.584,380491.584,0.012580594
"BM","entire",15,507322.112,507322.112,0.016774126
"BM","entire",14,650006.456,650006.456,0.021491849
"BM","entire",13,792690.8,792690.8,0.026209572
"BM","entire",12,935375.144,935375.144,0.030927295
"BM","entire",11,1066169.126,1066169.126,0.035251874
"BM","entire",10,1276232.188,1276232.188,0.04219741
"BM","entire",9,1521966.336,1521966.336,0.050322378
"BM","entire",8,1783554.3,1783554.3,0.058971536
"BM","entire",7,2013434.632,2013434.632,0.066572312
"BM","entire",6,2227461.148,2227461.148,0.073648897
"BM","entire",5,2417706.94,2417706.94,0.079939194
"BM","entire",4,2600025.824,2600025.824,0.085967395
"BM","entire",3,2798198.524,2798198.524,0.092519788
"BM","entire",2,3257959.188,3257959.188,0.10772134
"BM","entire",1,3646377.68,3646377.68,0.12056403
"BM","entire",0,3963454,1942092.46,0.064213451
"CB","entire",2,1577,1624.31,0.16815134
"CB","entire",1,5357,5357,0.554565773
"CB","entire",0,5357,2678.5,0.277282887
"SP","entire",20,0,8320,0.002167017
"SP","entire",19,33280,33280,0.00866807
"SP","entire",18,74240,74240,0.019336463
"SP","entire",17,130560,130560,0.034005504
"SP","entire",16,190720,190720,0.049674707
"SP","entire",15,243200,243200,0.063343586
"SP","entire",14,268800,268800,0.070011332
"SP","entire",13,293120,293120,0.07634569
"SP","entire",12,318720,318720,0.083013436
"SP","entire",11,345600,345600,0.090014569
"SP","entire",10,374400,374400,0.097515784
"SP","entire",9,404480,404480,0.105350385
"SP","entire",8,421120,421120,0.10968442
"SP","entire",7,442880,442880,0.115352004
"SP","entire",6,467840,467840,0.121853056
"SP","entire",5,492800,492800,0.128354108
"SP","entire",4,516480,516480,0.134521773
"SP","entire",3,536960,536960,0.13985597
"SP","entire",2,565120,565120,0.14719049
"SP","entire",1,600960,600960,0.156525335
"SP","entire",0,640000,314880,0.082013274
"TR","South",35,120001.057,144001.2684,0.000873149
"TR","South",34,316366.423,316366.423,0.001918281
"TR","South",33,556368.537,556368.537,0.003373529
"TR","South",32,829098.212,829098.212,0.00502722
"TR","South",31,1101827.887,1101827.887,0.00668091
"TR","South",30,1320011.627,1320011.627,0.008003863
"TR","South",29,1483649.432,1483649.432,0.008996077
"TR","South",28,1636378.05,1636378.05,0.009922144
"TR","South",27,1854561.79,1854561.79,0.011245097
"TR","South",26,2160019.026,2160019.026,0.01309723
"TR","South",25,2443657.888,2443657.888,0.014817069
"TR","South",24,2727296.75,2727296.75,0.016536907
"TR","South",23,3000026.425,3000026.425,0.018190598
"TR","South",22,3250937.726,3250937.726,0.019711993
"TR","South",21,3425484.718,3425484.718,0.020770355
"TR","South",20,3610940.897,3610940.897,0.021894865
"TR","South",19,3807306.263,3807306.263,0.023085522
"TR","South",18,4167309.434,4167309.434,0.025268394
"TR","South",17,4407311.548,4407311.548,0.026723642
"TR","South",16,4647313.662,4647313.662,0.02817889
"TR","South",15,4898224.963,4898224.963,0.029700285
"TR","South",14,5214591.386,5214591.386,0.031618566
"TR","South",13,5520048.622,5520048.622,0.0334707
"TR","South",12,5847324.232,5847324.232,0.035455129
"TR","South",11,6240054.964,6240054.964,0.037836443
"TR","South",10,6632785.696,6632785.696,0.040217758
"TR","South",9,7025516.428,7025516.428,0.042599073
"TR","South",8,7450974.721,7450974.721,0.04517883
"TR","South",7,7876433.014,7876433.014,0.047758588
"TR","South",6,8312800.494,8312800.494,0.050404493
"TR","South",5,8694622.039,8694622.039,0.05271966
"TR","South",4,9076443.584,9076443.584,0.055034827
"TR","South",3,9469174.316,9469174.316,0.057416141
"TR","South",2,9949178.544,9949178.544,0.060326637
"TR","South",1,10429182.77,10429182.77,0.063237133
"TR","South",0,10909187,5394592.972,0.032710002
"TB","entire",8,0,170,0.002755558
"TB","entire",7,3487,3487,0.056521352
"TB","entire",6,6164,6164,0.099913281
"TB","entire",5,7374,7374,0.119526368
"TB","entire",4,8292,8292,0.13440638
"TB","entire",3,9409,9409,0.152512015
"TB","entire",2,10323,10323,0.16732719
"TB","entire",1,10983,10983,0.178025238
"TB","entire",0,10983,5491.5,0.089012619
