lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
AL,1,1981,,,,,334,11/30/81,343,12/9/81
AL,1,1982,,,121,5/1/82,319,11/15/82,326,11/22/82
AL,1,1983,116,4/26/83,117,4/27/83,322,11/18/83,332,11/28/83
AL,1,1984,110,4/19/84,112,4/21/84,313,11/8/84,314,11/9/84
AL,1,1985,109,4/19/85,111,4/21/85,315,11/11/85,329,11/25/85
AL,1,1986,101,4/11/86,102,4/12/86,315,11/11/86,318,11/14/86
AL,1,1987,99,4/9/87,100,4/10/87,320,11/16/87,327,11/23/87
AL,1,1988,102,4/11/88,103,4/12/88,333,11/28/88,335,11/30/88
AL,1,1989,114,4/24/89,116,4/26/89,324,11/20/89,326,11/22/89
AL,1,1990,106,4/16/90,107,4/17/90,334,11/30/90,337,12/3/90
AL,1,1991,107,4/17/91,108,4/18/91,310,11/6/91,312,11/8/91
AL,1,1992,118,4/27/92,119,4/28/92,318,11/13/92,321,11/16/92
AL,1,1993,120,4/30/93,122,5/2/93,328,11/24/93,333,11/29/93
AL,1,1994,108,4/18/94,110,4/20/94,327,11/23/94,330,11/26/94
AL,1,1995,112,4/22/95,115,4/25/95,311,11/7/95,313,11/9/95
AL,1,1996,129,5/8/96,130,5/9/96,318,11/13/96,319,11/14/96
AL,1,1997,116,4/26/97,118,4/28/97,318,11/14/97,321,11/17/97
AL,1,1998,98,4/8/98,99,4/9/98,344,12/10/98,345,12/11/98
AL,1,1999,102,4/12/99,104,4/14/99,334,11/30/99,335,12/1/99
AL,1,2000,84,3/24/00,86,3/26/00,322,11/17/00,325,11/20/00
AL,1,2001,110,4/20/01,113,4/23/01,343,12/9/01,345,12/11/01
AL,1,2002,107,4/17/02,109,4/19/02,319,11/15/02,322,11/18/02
AL,1,2003,112,4/22/03,113,4/23/03,330,11/26/03,332,11/28/03
AL,1,2004,107,4/16/04,110,4/19/04,345,12/10/04,348,12/13/04
AL,1,2005,101,4/11/05,102,4/12/05,326,11/22/05,329,11/25/05
AL,1,2006,103,4/13/06,104,4/14/06,334,11/30/06,335,12/1/06
AL,1,2007,99,4/9/07,102,4/12/07,325,11/21/07,327,11/23/07
AL,1,2008,116,4/25/08,119,4/28/08,329,11/24/08,330,11/25/08
AL,1,2009,107,4/17/09,110,4/20/09,338,12/4/09,341,12/7/09
AL,1,2010,88,3/29/10,90,3/31/10,327,11/23/10,331,11/27/10
AL,1,2011,115,4/25/11,116,4/26/11,333,11/28/11,335,11/30/11
AL,1,2012,79,3/19/12,80,3/20/12,341,12/6/12,342,12/7/12
AL,1,2013,128,5/8/13,129,5/9/13,322,11/18/13,323,11/19/13
AL,1,2014,125,5/6/14,126,5/7/14,324,11/20/14,325,11/21/14
AL,1,2015,100,4/10/15,103,4/14/15,331,11/27/15,334,11/30/15
AL,1,2016,107,4/16/16,109,4/18/16,344,12/9/16,347,12/12/16
AL,1,2017,97,4/7/17,99,4/9/17,321,11/17/17,324,11/20/17
AL,1,2018,124,5/4/18,127,5/7/18,318,11/14/18,320,11/16/18
AL,1,2019,113,4/23/19,115,4/25/19,325,11/21/19,326,11/22/19
BM,1,1981,,,,,338,12/4/81,349,12/15/81
BM,1,1982,120,4/30/82,124,5/4/82,337,12/3/82,341,12/7/82
BM,1,1983,119,4/29/83,122,5/2/83,336,12/2/83,337,12/3/83
BM,1,1984,110,4/19/84,114,4/23/84,325,11/20/84,326,11/21/84
BM,1,1985,112,4/22/85,113,4/23/85,315,11/11/85,329,11/25/85
BM,1,1986,102,4/12/86,103,4/13/86,321,11/17/86,322,11/18/86
BM,1,1987,100,4/10/87,101,4/11/87,336,12/2/87,337,12/3/87
BM,1,1988,106,4/15/88,107,4/16/88,335,11/30/88,336,12/1/88
BM,1,1989,117,4/27/89,118,4/28/89,324,11/20/89,326,11/22/89
BM,1,1990,108,4/18/90,109,4/19/90,337,12/3/90,339,12/5/90
BM,1,1991,109,4/19/91,112,4/22/91,328,11/24/91,331,11/27/91
BM,1,1992,121,4/30/92,122,5/1/92,332,11/27/92,335,11/30/92
BM,1,1993,120,4/30/93,122,5/2/93,328,11/24/93,335,12/1/93
BM,1,1994,108,4/18/94,111,4/21/94,341,12/7/94,343,12/9/94
BM,1,1995,112,4/22/95,114,4/24/95,315,11/11/95,317,11/13/95
BM,1,1996,133,5/12/96,134,5/13/96,327,11/22/96,330,11/25/96
BM,1,1997,118,4/28/97,119,4/29/97,325,11/21/97,328,11/24/97
BM,1,1998,98,4/8/98,99,4/9/98,356,12/22/98,357,12/23/98
BM,1,1999,105,4/15/99,106,4/16/99,350,12/16/99,351,12/17/99
BM,1,2000,93,4/2/00,94,4/3/00,336,12/1/00,339,12/4/00
BM,1,2001,110,4/20/01,113,4/23/01,358,12/24/01,360,12/26/01
BM,1,2002,107,4/17/02,109,4/19/02,329,11/25/02,331,11/27/02
BM,1,2003,115,4/25/03,116,4/26/03,335,12/1/03,337,12/3/03
BM,1,2004,112,4/21/04,113,4/22/04,350,12/15/04,352,12/17/04
BM,1,2005,105,4/15/05,106,4/16/05,336,12/2/05,337,12/3/05
BM,1,2006,104,4/14/06,106,4/16/06,338,12/4/06,339,12/5/06
BM,1,2007,109,4/19/07,110,4/20/07,334,11/30/07,337,12/3/07
BM,1,2008,121,4/30/08,123,5/2/08,336,12/1/08,338,12/3/08
BM,1,2009,107,4/17/09,110,4/20/09,338,12/4/09,341,12/7/09
BM,1,2010,88,3/29/10,90,3/31/10,338,12/4/10,340,12/6/10
BM,1,2011,117,4/27/11,118,4/28/11,338,12/3/11,340,12/5/11
BM,1,2012,79,3/19/12,80,3/20/12,345,12/10/12,346,12/11/12
BM,1,2013,129,5/9/13,130,5/10/13,331,11/27/13,333,11/27/13
BM,1,2014,127,5/8/14,128,5/9/14,324,11/20/14,325,11/21/14
BM,1,2015,104,4/14/15,105,4/15/15,359,12/25/15,362,12/28/15
BM,1,2016,109,4/18/16,110,4/19/16,345,12/10/16,347,12/12/16
BM,1,2017,97,4/7/17,99,4/9/17,341,12/7/17,345,12/11/17
BM,1,2018,124,5/4/18,127,5/7/18,320,11/16/18,323,11/19/18
BM,1,2019,116,4/26/19,119,4/29/19,333,11/29/19,336,12/2/19
CB,1,1981,,,,,,,327,11/23/81
CB,1,1982,118,4/28/82,120,4/30/82,315,11/11/82,326,11/22/82
CB,1,1983,116,4/26/83,117,4/27/83,,,318,11/14/83
