lakeid,year,daynum,sampledate,depth,event,wtemp,o2,o2sat,firstopen,datefirstopen
TB,1982,27,1/27/82,0,Chem,0,8.6,62.4,123,5/3/82
TB,1982,27,1/27/82,1,Chem,1.2,6,45,123,5/3/82
TB,1982,27,1/27/82,2,Chem,2.6,4.3,33.5,123,5/3/82
TB,1982,27,1/27/82,3,Chem,3.4,2.8,22.3,123,5/3/82
TB,1982,27,1/27/82,4,Chem,3.6,1.1,8.8,123,5/3/82
TB,1982,27,1/27/82,5,Chem,3.6,0.6,4.8,123,5/3/82
TB,1982,27,1/27/82,6,Chem,3.7,0.5,4,123,5/3/82
TB,1982,27,1/27/82,7,Chem,3.7,0.5,4,123,5/3/82
TB,1982,62,3/3/82,0,Quarterly,0,7.75,56.25,123,5/3/82
TB,1982,62,3/3/82,1,Quarterly,1,5.1,38.1,123,5/3/82
TB,1982,62,3/3/82,2,Quarterly,2.9,1.1,8.7,123,5/3/82
TB,1982,62,3/3/82,3,Quarterly,3.5,0.7,5.6,123,5/3/82
TB,1982,62,3/3/82,4,Quarterly,3.7,0.7,5.6,123,5/3/82
TB,1982,62,3/3/82,5,Quarterly,3.8,0.6,4.8,123,5/3/82
TB,1982,62,3/3/82,6,Quarterly,3.8,0.5,4,123,5/3/82
TB,1982,62,3/3/82,7,Quarterly,3.9,0.5,4,123,5/3/82
TB,1982,96,4/6/82,0,Chem,0,6.9,50.1,123,5/3/82
TB,1982,96,4/6/82,1,Chem,0.6,2.6,19.2,123,5/3/82
TB,1982,96,4/6/82,2,Chem,1.6,0.6,4.6,123,5/3/82
TB,1982,96,4/6/82,3,Chem,2.9,0.1,0.8,123,5/3/82
TB,1982,96,4/6/82,4,Chem,3.4,0,0,123,5/3/82
TB,1982,96,4/6/82,5,Chem,3.6,0,0,123,5/3/82
TB,1982,96,4/6/82,6,Chem,3.7,0,0,123,5/3/82
TB,1982,96,4/6/82,7,Chem,3.9,0,0,123,5/3/82
TB,1982,132,5/12/82,0,Quarterly,18.1,8.3,93.2,123,5/3/82
TB,1982,132,5/12/82,0.5,Quarterly,,,,123,5/3/82
TB,1982,132,5/12/82,1,Quarterly,9.4,6,55.6,123,5/3/82
TB,1982,132,5/12/82,2,Quarterly,4.5,0.2,1.6,123,5/3/82
TB,1982,132,5/12/82,3,Quarterly,4.3,0.1,0.8,123,5/3/82
