"lakeid","hydro","estimate"
"AL",1982,-0.0425165360182905
"AL",1983,-0.0519155710406506
"AL",1984,-0.0413079773841083
"AL",1985,-0.0510513832466723
"AL",1986,-0.0322050218474892
"AL",1987,-0.0424665860858299
"AL",1988,-0.0381242024877417
"AL",1989,-0.0452611109642784
"AL",1990,-0.015711810864781
"AL",1991,-0.054749804323117
"AL",1992,-0.0462643770216768
"AL",1993,-0.0423934096680235
"AL",1994,-0.0152284269836217
"AL",1995,-0.0584084139297942
"AL",1996,-0.0323946194926974
"AL",1997,-0.0235365075062009
"AL",1998,-0.034306673722464
"AL",1999,-0.0287034670132211
"AL",2000,-0.038821861373425
"AL",2001,-0.0317383166248734
"AL",2002,-0.0522161394034676
"AL",2003,-0.0309048592989632
"AL",2004,-0.0345664667276548
"AL",2005,-0.0592377711344953
"AL",2006,-0.0429759813558365
"AL",2007,-0.0404057000490299
"AL",2008,-0.0441645980187328
"AL",2009,-0.0198276747066079
"AL",2010,-0.052794740473439
"AL",2011,-0.0322822786684019
"AL",2012,-0.0454309237004505
"AL",2013,-0.0361292304487892
"AL",2014,-0.032626874493762
"AL",2015,-0.0401085336694337
"AL",2016,-0.0429577738029346
"AL",2017,-0.0391016639182719
"AL",2018,-0.0307821882166898
"AL",2019,-0.0397555669356608
"BM",1982,-0.0401055034597567
"BM",1983,-0.0314436665433914
"BM",1984,-0.0215318491439374
"BM",1985,-0.0233922766682063
"BM",1986,-0.0212863675122645
"BM",1987,-0.0104819463840595
"BM",1988,-0.0128995670504821
"BM",1989,-0.0387683116019062
"BM",1990,-0.0030451563730581
"BM",1991,-0.0639588319974105
"BM",1992,-0.0110485707754283
"BM",1993,-0.0166613143781361
"BM",1994,-0.0160475388080653
"BM",1995,-0.059735623318832
"BM",1996,-0.0365175671025173
"BM",1997,-0.0111264656017105
"BM",1998,-0.0185789739403778
"BM",1999,-0.023762849582817
"BM",2000,-0.0509104816854619
"BM",2001,-0.0287071855986531
"BM",2002,-0.0288248793496275
"BM",2003,-0.0318623149161124
"BM",2004,-0.0219874444479641
"BM",2005,-0.0324756602766418
"BM",2006,-0.0235134603060534
"BM",2007,-0.0327043517110852
"BM",2008,-0.0198505262492843
"BM",2009,-0.0276689923583299
"BM",2010,-0.0510952318402732
"BM",2011,-0.0174147686732221
"BM",2012,-0.0243770524103507
"BM",2013,-0.0214190013323076
"BM",2014,-0.0301941708501752
"BM",2015,-0.023353313095695
"BM",2016,-0.0288447705366134
"BM",2017,-0.00831899906801377
"BM",2018,-0.0236832313297219
"BM",2019,-0.0317530006791546
"CB",1982,0.00116226596042369
"CB",1983,-0.0429968806767726
"CB",1984,-0.0488447962906222
"CB",1985,-0.0260283941511545
"CB",1986,-0.102588325953642
"CB",1987,0.00183912118607818
"CB",1988,-0.0525502604251799
"CB",1989,-0.0456769233834182
"CB",1990,-0.00550615840718621
"CB",1991,-0.0313358561678404
"CB",1992,-0.00654540039311151
"CB",1993,-0.0491530247735541
"CB",1994,-0.0356757528845378
"CB",1995,-0.0324581966388586
"CB",1996,-0.0690765130865114
"CB",1997,-0.000682572341874473
"CB",1998,-0.0217470184417625
"CB",1999,-0.021191800605069
"CB",2000,-0.0861915463698004
"CB",2001,-0.0176328979225594
"CB",2002,-0.0541454339482636
"CB",2003,0.0114839140312581
"CB",2004,-0.067277571091951
"CB",2005,-0.0372106737799164
"CB",2006,-0.0338965086280837
"CB",2007,-0.0399517347304622
"CB",2008,-0.00000000000000000280373653336389
"CB",2009,-0.0306769375769467
