hydro,estimate,lakeid,name
1982,-0.049,AL,TA
1983,-0.058,AL,TA
1984,-0.041,AL,TA
1985,-0.049,AL,TA
1986,-0.068,AL,TA
1987,-0.046,AL,TA
1988,-0.058,AL,TA
1989,-0.05,AL,TA
1990,-0.07,AL,TA
1991,-0.061,AL,TA
1983,-0.033,BM,TA
1984,-0.022,BM,TA
1985,-0.025,BM,TA
1986,-0.021,BM,TA
1988,-0.013,BM,TA
1989,-0.04,BM,TA
1990,-0.025,BM,TA
1983,-0.076,CB,TA
1984,-0.077,CB,TA
1985,-0.085,CB,TA
1986,-0.094,CB,TA
1987,-0.069,CB,TA
1988,-0.083,CB,TA
1989,-0.09,CB,TA
1990,-0.099,CB,TA
1991,-0.08,CB,TA
1982,-0.04,CR,TA
1987,-0.021,CR,TA
1989,-0.033,CR,TA
1990,-0.031,CR,TA
1991,-0.019,CR,TA
1982,-0.045,SP,TA
1983,-0.026,SP,TA
1985,-0.016,SP,TA
1986,-0.015,SP,TA
1989,-0.04,SP,TA
1990,-0.044,SP,TA
1991,-0.02,SP,TA
1982,-0.034,TB,TA
1983,-0.032,TB,TA
1984,-0.023,TB,TA
1985,-0.016,TB,TA
1986,-0.042,TB,TA
1987,-0.032,TB,TA
1988,-0.019,TB,TA
1989,-0.032,TB,TA
1990,-0.05,TB,TA
1991,-0.035,TB,TA
1982,-0.057,TR,TA
1984,-0.012,TR,TA
1985,-0.015,TR,TA
1986,-0.015,TR,TA
1987,-0.011,TR,TA
1989,-0.032,TR,TA
1991,-0.02,TR,TA
