lakeid,year,daynum,sampledate,depth,event,wtemp,o2,o2sat
TB,1982,27,1/27/82,0,Chem,0,8.6,62.4
TB,1982,27,1/27/82,1,Chem,1.2,6,45
TB,1982,27,1/27/82,2,Chem,2.6,4.3,33.5
TB,1982,27,1/27/82,3,Chem,3.4,2.8,22.3
TB,1982,27,1/27/82,4,Chem,3.6,1.1,8.8
TB,1982,27,1/27/82,5,Chem,3.6,0.6,4.8
TB,1982,27,1/27/82,6,Chem,3.7,0.5,4
TB,1982,27,1/27/82,7,Chem,3.7,0.5,4
TB,1982,62,3/3/82,0,Quarterly,0,7.75,56.25
TB,1982,62,3/3/82,1,Quarterly,1,5.1,38.1
TB,1982,62,3/3/82,2,Quarterly,2.9,1.1,8.7
TB,1982,62,3/3/82,3,Quarterly,3.5,0.7,5.6
TB,1982,62,3/3/82,4,Quarterly,3.7,0.7,5.6
TB,1982,62,3/3/82,5,Quarterly,3.8,0.6,4.8
TB,1982,62,3/3/82,6,Quarterly,3.8,0.5,4
TB,1982,62,3/3/82,7,Quarterly,3.9,0.5,4
TB,1982,96,4/6/82,0,Chem,0,6.9,50.1
TB,1982,96,4/6/82,1,Chem,0.6,2.6,19.2
TB,1982,96,4/6/82,2,Chem,1.6,0.6,4.6
TB,1982,96,4/6/82,3,Chem,2.9,0.1,0.8
TB,1982,96,4/6/82,4,Chem,3.4,0,0
TB,1982,96,4/6/82,5,Chem,3.6,0,0
TB,1982,96,4/6/82,6,Chem,3.7,0,0
TB,1982,96,4/6/82,7,Chem,3.9,0,0
TB,1983,10,1/10/83,0,Chem,0.3,14.6,106.9
TB,1983,10,1/10/83,1,Chem,1.8,5.2,39.7
TB,1983,10,1/10/83,2,Chem,3.2,3.4,27
TB,1983,10,1/10/83,3,Chem,3.6,4.6,36.9
TB,1983,10,1/10/83,4,Chem,3.7,1.2,9.6
TB,1983,10,1/10/83,5,Chem,3.9,0.4,3.2
TB,1983,10,1/10/83,6,Chem,4,0.2,1.6
TB,1983,10,1/10/83,7,Chem,4,0.1,0.8
TB,1983,53,2/22/83,0,Quarterly,0.7,12.7,94
TB,1983,53,2/22/83,1,Quarterly,1.9,4.5,34.4
TB,1983,53,2/22/83,2,Quarterly,2.7,1.6,12.5
TB,1983,53,2/22/83,3,Quarterly,3.4,0.6,4.8
TB,1983,53,2/22/83,4,Quarterly,3.5,0.2,1.6
TB,1983,53,2/22/83,5,Quarterly,3.6,0.1,0.8
TB,1983,53,2/22/83,6,Quarterly,3.7,0.1,0.8
TB,1983,53,2/22/83,7,Quarterly,3.9,0,0
TB,1983,83,3/24/83,0,Chem,0.7,11.3,83.7
TB,1983,83,3/24/83,1,Chem,1.5,4.8,36.3
TB,1983,83,3/24/83,2,Chem,2.6,1.1,8.6
TB,1983,83,3/24/83,3,Chem,3.2,0.2,1.6
TB,1983,83,3/24/83,4,Chem,3.6,0.2,1.6
TB,1983,83,3/24/83,5,Chem,3.7,0.2,1.6
TB,1983,83,3/24/83,6,Chem,3.9,0.2,1.6
TB,1983,83,3/24/83,7,Chem,4,0.2,1.6
TB,1984,3,1/3/84,0,Chem,0.2,7.2,52.6
TB,1984,3,1/3/84,1,Chem,1.5,4.8,36.3
TB,1984,3,1/3/84,2,Chem,2.8,3.3,25.9
TB,1984,3,1/3/84,3,Chem,3.2,2.5,19.8
TB,1984,3,1/3/84,4,Chem,3.5,1.8,14.4
TB,1984,3,1/3/84,5,Chem,3.7,0.4,3.2
TB,1984,3,1/3/84,6,Chem,3.8,0.3,2.4
TB,1984,3,1/3/84,7,Chem,3.8,0.2,1.6
TB,1984,59,2/28/84,0,Quarterly,0.4,5,36.7
TB,1984,59,2/28/84,1,Quarterly,1.3,4.1,30.9
TB,1984,59,2/28/84,2,Quarterly,2.5,2.4,18.7
TB,1984,59,2/28/84,3,Quarterly,3.1,1,7.9
